"data","acompanhamento","prato_principal","guarnicao","sobremesa","sem_atendimento","quantidade_almoco","quantidade_jantar"
"2025-02-13","45,46","133,87","85","71,56",0,1397,431
"2025-02-14","45,46","140,78","","55,60",0,1414,335
"2025-02-17","45,46","134,135","141","55,51",0,1950,606
"2025-02-18","45,46","137,119","74","64,56",0,1567,455
"2025-02-19","45,46","129,62","63","71,51",0,2798,970
"2025-02-20","45,46","137,48","63","64,51",0,1772,498
"2025-02-21","45,46","133,96","85","55,60",0,1089,239
"2025-02-24","45,46","137,48","","92,51",0,1144,323
"2025-02-25","45,46","94,95","","55,60",0,1202,325
"2025-03-24","45,46","86,48","88","55,51",0,1712,483
"2025-03-25","45,46","94,95","","71,56",0,1975,637
"2025-03-26","45,46","90,91","","92,51",0,2720,1210
"2025-03-27","45,46","142,119","83","115,51",0,2056,622
"2025-03-28","45,46","133,96","85","64,51",0,1534,400
"2025-03-31","45,46","134,135","141","71,51",0,2734,932
"2025-04-01","45,46","137,48","155","115,56",0,2404,765
"2025-04-02","45,46","94,95","","67,60",0,2540,790
"2025-04-03","45,46","142,119","88","115,56",0,2483,709
"2025-04-04","45,46","133,96","85","59,51",0,1737,498
"2025-04-07","45,46","132,53","54","71,51",0,2765,1206
"2025-04-08","45,46","100,101","143","79,56",0,2523,858
"2025-04-09","45,46","129,62","63","71,51",0,3205,1492
"2025-04-10","45,46","142,48","74","115,56",0,2359,798
"2025-04-11","45,46","133,96","85","64,60",0,1625,451
"2025-04-11","45,46","133,96","85","64,60",1,1625,451
"2025-04-14","156,46","47,135","141","55,51",0,2737,951
"2025-04-15","156,46","137,138","74","64,56",0,2316,655
"2025-04-16","156,46","94,95","","59,152",0,2562,913
"2025-04-17","156,46","133,96","85","71,51",0,1632,472
"2025-04-22","156,46","142,48","88","59,51",0,2378,813
"2025-04-23","156,46","129,62","63","64,51",0,3113,1577
"2025-04-24","156,46","137,119","74","79,56",0,2255,717
"2025-04-25","45,46","133,96","85","59,60",0,1753,560
"2025-04-28","156,46","132,53","54","64,51",0,2718,1222
"2025-04-29","156,46","131,66","","71,56",0,1259,370
"2025-04-30","156,46","122,157","","59,158",0,3089,1495
"2025-05-05","45,46","132,53","54","59,51",0,2581,1124
"2025-05-06","45,46","100,101","143","71,56",0,2536,900
"2025-05-07","45,46","131,66","","79,56",0,2432,844
"2025-05-08","45,46","123,124","74","59,51",0,2802,1229
"2025-05-09","45,46","133,96","85","67,60",0,1729,502
"2025-05-12","45,46","134,107","141","67,51",0,2611,984
"2025-05-13","45,46","137,138","","92,51",0,2352,828
"2025-05-14","45,46","129,62","104","55,51",0,3100,1437
"2025-05-15","45,46","142,48","88","67,56",0,2429,805
"2025-05-16","45,46","133,96","85","67,60",0,1792,424
"2025-05-19","45,46","137,107","88","55,51",0,2327,770
"2025-05-20","45,46","130,48","49","115,56",0,2215,811
"2025-05-21","45,46","94,95","","71,60",0,2344,838
